PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	Host_response	Experimental_evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:2655	Uniprot	K1C7N5	EKA39411	ATCC700888	lon	no data found	no	287	Pseudomonas aeruginosa	H103	Nosocomial infections	Animal	10114	Rat	"Cytoplasmic serine
protease"	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene mutation: characterised	na	RP	23145092	Pubmed	10.1371/journal.pone.0049123	no comments
PHI:2655	Uniprot	K1C7N5	EKA39411	ATCC700888	lon	no data found	no	287	Pseudomonas aeruginosa	PA14	Nosocomial infections	Animal	10114	Rat	"Cytoplasmic serine
protease"	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene mutation: characterised	na	RP	23145092	Pubmed	10.1371/journal.pone.0049123	no comments
PHI:2656	Uniprot	D0ZPP5	ACY89276	14028S	pmrF	no data found	no	90371	Salmonella enterica serovar Typhimurium	JSG210	Food poisoning	Animal	10090	Mouse	4-amino-4-deoxy-L-arabinose (Ara4N) production	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23166721	Pubmed	10.1371/journal.pone.0049588	Attenuated virulence seen only in mice infected via the oral not the IP route
PHI:2657	Uniprot	A9CFS9	AAK89532	C58	HspL	no data found	no	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	no comments
PHI:2658	Uniprot	A9CKC3	AAK86192	C58	hspC	no data found	no	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	no comments
PHI:2659	Uniprot	Q7D412	AAK90427	C58	hspAT1	no data found	no	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	no comments
PHI:2660	Uniprot	Q7D321	AAK90824	C58	hspAT2	no data found	no	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	no comments
PHI:2658	Uniprot	A9CKC3	AAK86192	C58	hspC	no data found	PHI:2660	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	no comments
PHI:2660	Uniprot	Q7D321	AAK90824	C58	hspAT2	no data found	PHI:2658	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	no comments
PHI:2657	Uniprot	A9CFS9	AAK89532	C58	HspL	no data found	PHI:2658	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels
PHI:2657	Uniprot	A9CFS9	AAK89532	C58	HspL	no data found	PHI:2659	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels
PHI:2657	Uniprot	A9CFS9	AAK89532	C58	HspL	no data found	PHI:2660	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Functions as a VirB8 chaperone to promote T4SS-mediated DNA transfer	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels
PHI:2658	Uniprot	A9CKC3	AAK86192	C58	hspC	no data found	PHI:2657	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels
PHI:2659	Uniprot	Q7D412	AAK90427	C58	hspAT1	no data found	PHI:2657	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels
PHI:2660	Uniprot	Q7D321	AAK90824	C58	hspAT2	no data found	PHI:2657	358	Agrobacterium tumefaciens	NT1RE	Crown gall disease	Eudicot	4113	Potato	Alpha-crystallin-type small heat shock proteins	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23185409	Pubmed	10.1371/journal.pone.0049685	Overexpression of each of sHsps in D 4sHsps was able to restore the tumorigenesis efficiency at wildtype-like levels
PHI:2661	Uniprot	Q4X0J5	EAL93620	Af293	MedA	no data found	no	746128	Aspergillus fumigatus	Af293	Invasive pulmonary aspergillosis	Insecta	7137	Greater wax moth	Developmental Regulator	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	aberrant	no data found	aberrant	no data found	no data found	no data found	no data found	no data found	Gene mutation: characterised; Gene complementation	na	RP	23185496	Pubmed	10.1371/journal.pone.0049959	no comments
PHI:2662	Uniprot	A4VZ16	ABP91355	98HAH33	HP0197	no data found	no	1307	Streptococcus suis	05ZY	Meningitis	Animal	10090	Mouse	Surface protective antigen 	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23226442	Pubmed	10.1371/journal.pone.0050987	no comments
PHI:2662	Uniprot	A4VZ16	ABP91355	98HAH33	HP0197	no data found	no	1307	Streptococcus suis	05ZY	Meningitis	Animal	9823	Pig	Surface protective antigen 	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23226442	Pubmed	10.1371/journal.pone.0050987	no comments
PHI:2663	Uniprot	Q4DDC5	XP_812391	CL Brener	delta-amastin	no data found	no	5693	Trypanosoma cruzi	CL Brener	Chagas Disease	Animal	10090	Mouse	Surface glycoprotein	no data found	no data found	no data found	Increased virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	altered gene expression/ gene regulation: overexpression	na	RP	23272170	Pubmed	10.1371/journal.pone.0051804	no comments
PHI:2664	Uniprot	C5AIS7	ACR31807  	BGR1	tofM	no data found	no	337	Burkholderia glumae	336gr-1	Panicle blight	Monocot	4530	Rice	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
PHI:2665	Uniprot	Q4VSJ8	AAV52805	BGR1	tofI	no data found	no	337	Burkholderia glumae	336gr-1	Panicle blight	Monocot	4530	Rice	Produce toxoflavin	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
PHI:2666	Uniprot	Q4VSJ9	AAV52804	BGR1	tofR	no data found	no	337	Burkholderia glumae	336gr-1	Panicle blight	Monocot	4530	Rice	Produce toxoflavin	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
PHI:2664	Uniprot	C5AIS7	ACR31807  	BGR1	tofM	no data found	PHI:2665; PHI:2666	337	Burkholderia glumae	336gr-1	Panicle blight	Monocot	4530	Rice	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
PHI:2665	Uniprot	Q4VSJ8	AAV52805	BGR1	tofI	no data found	PHI:2666; PHI:2664	337	Burkholderia glumae	336gr-1	Panicle blight	Monocot	4530	Rice	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
PHI:2666	Uniprot	Q4VSJ9	AAV52804	BGR1	tofR	no data found	PHI:2665; PHI:2664	337	Burkholderia glumae	336gr-1	Panicle blight	Monocot	4530	Rice	Produce toxoflavin	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23284909	Pubmed	10.1371/journal.pone.0052150	no comments
PHI:2667	Uniprot	H6SB05	CCE36717	UT205	PPE18	no data found	no	1773	Mycobacterium tuberculosis	CDC1551	Tuberculosis	Animal	10090	Mouse	PPE18 was found to selectively downregulate the proin-flammatory and Th1-type immune response	no data found	no data found	p38 mitogen activated protein kinase (MAPK) pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23300718	Pubmed	10.1371/journal.pone.0052601	no comments
PHI:2668	Uniprot	G2Y3E7	CCD47187 	T4	bcvel1	no data found	no	40559	Botrytis cinerea	1750	Grey mould fungus	Eudicot	3885	French bean	Regulatory protein linking light signals with development and secondary metabolism	no data found	no data found	p38 mitogen activated protein kinase (MAPK) pathway	Reduced virulence	no data found	no data found	no data found	no data found	aberrant	no data found	no data found	no data found	Fenhexamid	126833-17-8	no data found	no data found	Gene deletion: full	na	RP	23308280	Pubmed	10.1371/journal.pone.0053729	bcvel1 mutants was accompanied by the inabilityof the mutant to grow on medium containing fenhexamid
PHI:2669	Uniprot	Q9I1R1	AE004647_3	PAO1	PA2206	no data found	no	287	Pseudomonas aeruginosa	PAO1	Nosocomial infections	Animal	7955	Zebrafish	LysR-type transcriptional regulators	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Hydrogen peroxide	7722-84-1	no data found	no data found	Gene mutation: characterised	na	RP	23382903	Pubmed	10.1 371/journal.pone. 0054479	PA2206 was found to be required for tolerance to H 2 O 2 in vitro
PHI:2670	Uniprot	A3M486	ABO11730	ATCC 17978	tssM	no data found	no	470	Acinetobacter baumannii	ATCC 17978	Nosocomial infections	Eukaryote	44689	Amoebae	Part of Type VI Secretion System	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23365692	Pubmed	10.1371/journal.pone.0055142	no comments
PHI:2670	Uniprot	A3M486	ABO11730	ATCC 17978	tssM	no data found	no	470	Acinetobacter baumannii	ATCC 17978	Nosocomial infections	Insect	7137	Greater wax moth	Part of Type VI Secretion System	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23365692	Pubmed	10.1371/journal.pone.0055142	no comments
PHI:2670	Uniprot	A3M486	ABO11730	ATCC 17978	tssM	no data found	no	470	Acinetobacter baumannii	ATCC 17978	Nosocomial infections	Animal	10090	Mouse	Part of Type VI Secretion System	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23365692	Pubmed	10.1371/journal.pone.0055142	no comments
PHI:2671	Uniprot	P13041	VRPR_SALTY	LT2	spvR	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2672	Uniprot	P0A2P8	CRA_SALTY  	LT2	fruR	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2673	Uniprot	P64394	IHFB_SALTY	LT2	himD	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2674	Uniprot	P14146	PHOP_SALTY	LT2	phoP	no data found	PHI:2675	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2675	Uniprot	P14147	PHOQ_SALTY	LT2	phoQ	no data found	PHI:2674	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2676	Uniprot	Q8ZPP5	Q8ZPP5_SALTY	LT2	ssrA 	no data found	PHI:2677	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2677	Uniprot	Q7CQM5	Q7CQM5_SALTY	LT2	ssrB	no data found	PHI:2676	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2678	Uniprot	P40676	SLYA_SALTY	LT2	slyA	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2679	Uniprot	Q7CQF1	Q7CQF1_SALTY	LT2	hnr	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2680	Uniprot	P0A2F0	RPOE_SALT	LT2	rpoE	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2681	Uniprot	P0A2G1	SSRP_SALTY	LT2	smpB	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2682	Uniprot	P69917	CSRA_SALTY	LT2	csrA	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2683	Uniprot	P0A2E5	RPOS_SALTY	LT2	rpoS	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2684	Uniprot	P0A2T6	CRP_SALTY	LT2	crp	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2685	Uniprot	P0AA19	OMPR_SALTY	LT2	ompR	no data found	PHI:2686	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2686	Uniprot	P08982 	ENVZ_SALTY	LT2	envZ	no data found	PHI:2685	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2687	Uniprot	P0A1R0	HFQ_SALTY	LT2	hfq	no data found	no	90371	Salmonella enterica serovar Typhimurium	ATCC14028s 	Food poisoning	Animal	10090	Mouse	Regulators of systemic infection	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	19229334	Pubmed	10.1 371/journal.p pat.1000306	no comments
PHI:2688	Uniprot	Q3BQL2	CAJ24951	85-10	XopL	no data found	no	456327	Xanthomonas campestris pv. vesicatoria	85-10	no data found	Eudicot	4072	Pepper	Novel E3 Ubiquitin Ligase	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23359647	Pubmed	10.1371/journal.ppat.1003121	no comments
PHI:2689	Uniprot	Q6E9X8	AAS84970	NRRL 33064	ActA	no data found	no	1639	Listeria monocytogenes	LO28	Listeriosis	Animal	10090	Mouse	Virulence determinant; enabling actin polymerization	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23382675	Pubmed	10.1371/jo urnal.ppat. 1003131	ActA plays a key role in persistence within the host and in transmission from the host back to the environment
PHI:2690	Uniprot	P08191	CAA29156	K12	FimH	no data found	no	562	Escherichia coli	LF82	Crohn’s disease	Animal	10090	Mouse	Adhesion	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	reduced	no data found	no data found	no data found	no data found	no data found	Gene mutation: characterised	na	RP	23358328	Pubmed	10.1371/jo urnal.ppat.1003 141	no comments
PHI:2691	Uniprot	Q6FUI3	XP_446111	CBS 138	IRE1	no data found	no	5478	Candida glabrata	CBS138	Disseminated candidiasis	Animal	10090	Mouse	Transmembrane kinase/endoribonuclease	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23382685	Pubmed	10.1371/jo urnal.ppat.1003 160	no comments
PHI:2692	Uniprot	E0W547	AEK80452	P7064	Avh5	no data found	no	67593	Phytophthora sojae	no data found	Soybean stem and root rot	Eudicot	3847	Soybean	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation: characterised	na	RP	23075041	Pubmed	10.1094/MPMI-07-12-0184-R	no comments
PHI:2693	Uniprot	F0XP73	EFX00255 	kw1407	GcABC-G1	no data found	no	226899	Grosmannia clavigera	kw1407	no data found	Conifer	3339	Pinus contorta	ABC efﬂux transporter	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	reduced	reduced	no data found	no data found	no data found	no data found	Gene deletion: full	na	RP	23252416	Pubmed	10.1111/nph.12063	no comments
PHI:2694	Uniprot	Q6D000	CAG76898	SCRI1043	 rsmB	no data found	no	29471	Pectobacterium atrosepticum	SCRI1043	Rotting of tubers; blackleg disease of the plant stem	Eudicot	4113	Potato	Modulates plant cell wall–degrading enzymes	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23113713	Pubmed	10.1094/MPMI-09-12-0210-R	no comments
PHI:2695	Uniprot	Q6CZA0 	CAG77150	SCRI1043	metJ	no data found	no	29471	Pectobacterium atrosepticum	SCRI1043	Rotting of tubers; blackleg disease of the plant stem	Eudicot	4113	Potato	Repressor of the methionine biosynthesis regulon	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation: uncharacterised	na	RP	23113713	Pubmed	10.1094/MPMI-09-12-0210-R	no comments
PHI:2694	Uniprot	Q6D000	CAG76898	SCRI1043	 rsmB	no data found	PHI:2695	29471	Pectobacterium atrosepticum	SCRI1043	Rotting of tubers; blackleg disease of the plant stem	Eudicot	4113	Potato	Modulates plant cell wall–degrading enzymes	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene deletion: full; Gene complementation	na	RP	23113713	Pubmed	10.1094/MPMI-09-12-0210-R	no comments
PHI:2695	Uniprot	Q6CZA0 	CAG77150	SCRI1043	metJ	no data found	PHI:2694	29471	Pectobacterium atrosepticum	SCRI1043	Rotting of tubers; blackleg disease of the plant stem	Eudicot	4113	Potato	Repressor of the methionine biosynthesis regulon	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene mutation: uncharacterised	na	RP	23113713	Pubmed	10.1094/MPMI-09-12-0210-R	no comments
PHI:2696	Uniprot	 I1VGT7	AFI43935	UK7	NIP2	no data found	no	914237	Rhynchosporium commune	UK7	Barley leaf scald	Eudicot	4513	Barley	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	Gene disruption	na	RP	22712509	Pubmed	10.1094/MPMI-03-12-0065-R	no comments
