PHI_MolConn_ID	IdentifierTypeOfProteinID	ProteinID	IdentifierTypeOfGeneLocusID	GeneLocusID	Genomic sequence providing strain	Gene_name	Genome location	Specific modification/s to the targeted protein or promoter	Accession ID for the modified genetic element  	Known interacting protein(s) in the pathogen	Interacting protein - locus ID 	Multiple_mutation	Pathogen_NCBI_species_Taxonomy ID	Pathogen_species	Pathogen_NCBI_strain_Taxonomy_ID	Experimental_strain	Disease_name	Host_descripton	Host_NCBI_Taxonomy_ID	Experimental_host_species	Host_strain_genotype_or cultivar_taxonomy_ID_NCBI	HostGenotype_definedGene of interest	HostGenotype_definedGene of interest _AccessionID	tissue_type	Function	GO_annotation	Database	Pathway_secretion_systems	Phenotype_of_mutant	Mating_defect_prior_to_penetration	Pre_penetration_defect	Penetration_defect	Post_penetration_defect	Disease_development_macroscopically_visible	Vegetative_spores	Sexual_spores	In_vitro_growth	Spore_germination	Inducer	ChemicalAccession (Chebi/CAS)	Tested Host_target	TestedHostTarget_AccessionID	Interaction phenotype	Host_response	Experimental_evidence	Transient Assay Experimental Evidence	Species_Expert	Entered_by	Literature_ID	Literature_source	DOI	Comments
PHI:2891	Uniprot	G4ZRQ8	Genbank	KC312957	P7064	Avr1b-1	no data found					no	67593	Phytophthora sojae	no data found	P6954 	Soybean stem and root rot agent	Eudicot	3847	Soybean	Williams			leaves; hypocotyledons	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Altered gene expression / gene regulation: overexpression		na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
PHI:2890	Uniprot	B2C6F5	Genbank	KC312950	P7063	Avr1k	no data found					no	67593	Phytophthora sojae	no data found	P6954 	Soybean stem and root rot agent	Eudicot	3847	Soybean	Harosoy			leaves; hypocotyledons	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Altered gene expression / gene regulation: overexpression		na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
PHI:2891	Uniprot	G4ZRQ8	Genbank	KC312957	P7064	Avr1b-1	no data found					no	67593	Phytophthora sojae	no data found	P6954 	Soybean stem and root rot agent	Eudicot	3847	Soybean	Harosoy			leaves; hypocotyledons	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Altered gene expression / gene regulation: overexpression		na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
PHI:2890	Uniprot	B2C6F5	Genbank	KC312950	P7063	Avr1k	no data found					no	67593	Phytophthora sojae	no data found	P6954 	Soybean stem and root rot agent	Eudicot	3847	Soybean	Williams			leaves; hypocotyledons	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
PHI:2891	Uniprot	G4ZRQ8	Genbank	KC312957	P7064	Avr1b-1	no data found					no	67593	Phytophthora sojae	no data found	P6954 	Soybean stem and root rot agent	Eudicot	3847	Soybean	Williams			leaves; hypocotyledons	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
PHI:2890	Uniprot	B2C6F5	Genbank	KC312950	P7063	Avr1k	no data found					no	67593	Phytophthora sojae	no data found	P6954 	Soybean stem and root rot agent	Eudicot	3847	Soybean	Harosoy			leaves; hypocotyledons	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
PHI:2891	Uniprot	G4ZRQ8	Genbank	KC312957	P7064	Avr1b-1	no data found					no	67593	Phytophthora sojae	no data found	P6954 	Soybean stem and root rot agent	Eudicot	3847	Soybean	Harosoy			leaves; hypocotyledons	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
PHI:2892	Uniprot	B9K1X3	Genbank	ACM38871	S4	F-Avi5813	Chromosome 2					no	373	Agrobacterium vitis	no data found	F2/5	Crown gall of grapes	Eudicot	29760	Grapes	no data found			shoot	Phosphopantetheinyl transferase	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	wild type	no data found	no data found	no data found	no data found			no data found	Gene disruption; Gene complementation		na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
PHI:2893	Uniprot	B9K1Q7	Genbank	ACM38805	S4	F-avi5730	Chromosome 2					no	373	Agrobacterium vitis	no data found	F2/5	Crown gall of grapes	Eudicot	29760	Grapes	no data found			shoot	Peptide synthetase	no data found	no data found	no data found	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene disruption; Gene complementation		na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
PHI:2894	Uniprot	B9JZT5	Genbank	ACM37395	S4	F-avi3342	Chromosome 1					no	373	Agrobacterium vitis	no data found	F2/5	Crown gall of grapes	Eudicot	29760	Grapes	no data found			shoot	Peptide synthetase	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene disruption; Gene complementation		na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
PHI:2895	Uniprot	B9JV05	Genbank	ACM38143	S4	F-avi4330	Chromosome 1					no	373	Agrobacterium vitis	no data found	F2/5	Crown gall of grapes	Eudicot	29760	Grapes	no data found			shoot	Polyketide synthetase protein	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene disruption; Gene complementation		na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
PHI:2896	Uniprot	N1JK84	EMBL	CCU82697	no data found	BEC1005	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2897	Uniprot	A0A059UDR8	Genbank	KJ571201.1	no data found	BEC1019	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2898	Uniprot	N1JJX4	EMBL	CCU83226	no data found	BEC1011	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2899	Uniprot	N1JFE2	EMBL	CCU76597	no data found	BEC1038	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2900	Uniprot	N1JJE7	EMBL	CCU83284	no data found	BEC1016	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2901	Uniprot	N1JK93	EMBL	CCU82707	no data found	BEC1040	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2902	Uniprot	N1JN67	EMBL	CCU82095	no data found	BEC1018	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2903	Uniprot	N1JJ94	EMBL	CCU83233	no data found	BEC1054	no data found					no	62688	Blumeria graminis f. sp. hordei	no data found	CH4.8	Barley powdery mildew	Monocot	4513	Barley	Golden promise			leaves	Effector protein	no data found	no data found	no data found	Reduced virulence	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	altered gene expression / gene regulation: silencing		na	RP	23441578	Pubmed	10.1094/MPMI-01-13-0005-R	no comments
PHI:2904	Uniprot	M1T205	Genbank	JX134488	no data found	Me10	no data found					no	13131	Macrosiphum euphorbiae	no data found	no data found	no data found	Eudicot	4100	Nicotiana benthamiana	NC-95			leaves	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
PHI:2905	Uniprot	M1T210	Genbank	JX134493	no data found	Me23	no data found					no	13131	Macrosiphum euphorbiae	no data found	no data found	no data found	Eudicot	4100	Nicotiana benthamiana	NC-95			leaves	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
PHI:2904	Uniprot	M1T205	Genbank	JX134488	no data found	Me10	no data found					no	13131	Macrosiphum euphorbiae	no data found	no data found	no data found	Eudicot	4081	Tomato	Money maker			leaves	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
PHI:2904	Uniprot	M1T205	Genbank	JX134488	no data found	Me10	no data found					no	13131	Macrosiphum euphorbiae	no data found	no data found	no data found	Eudicot	4081	Tomato	UC82b			leaves	Effector protein	no data found	no data found	no data found	Effector (plant avirulence determinant)	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Functional test in host		na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
PHI:2906	Uniprot	D4HUY5	Genbank	CBA19258	CFBP1430	rpoN	no data found					no	552	Erwinia amylovora	no data found	HKN06P1	Fire blight	Eudicot	3750	Apple	Fuji			leaves; fruits	Sigma factor, regulating essential virulence gene expression	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene mutation		na	RP	23721085	Pubmed	10.1111/mpp.12045	no comments
PHI:2906	Uniprot	D4HUY5	Genbank	CBA19258	CFBP1430	rpoN	no data found					no	552	Erwinia amylovora	no data found	HKN06P1	Fire blight	Eudicot	3750	Apple	Gala			leaves; fruits	Sigma factor, regulating essential virulence gene expression	no data found	no data found	no data found	Loss of pathogenicity	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found	no data found			no data found	Gene mutation		na	RP	23721085	Pubmed	10.1111/mpp.12045	no comments
PHI:2907	Uniprot	I6YDU0	Genbank	FGSG_04092	PH-1	Cyp51A	no data found					no	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Monocot	4565	Wheat	Bobwhite			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2908	Uniprot	I1RBR4	Genbank	FGSG_01000	PH-1	Cyp51B	no data found					no	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Monocot	4565	Wheat	Bobwhite			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	reduced	no data found	wild type	reduced	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2909	Uniprot	I1S2M5	EMBL	FGSG_11024	PH-1	Cyp51C	no data found					no	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Monocot	4565	Wheat	Bobwhite			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2907	Uniprot	I6YDU0	Genbank	FGSG_04092	PH-1	Cyp51A	no data found					PHI:2909	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Monocot	4565	Wheat	Bobwhite			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2908	Uniprot	I1RBR4	Genbank	FGSG_01000	PH-1	Cyp51B	no data found					PHI:2909	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Monocot	4565	Wheat	Bobwhite			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	reduced	no data found	wild type	reduced	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2909	Uniprot	I1S2M5	EMBL	FGSG_11024	PH-1	Cyp51C	no data found					PHI:2907	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Monocot	4565	Wheat	Bobwhite			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2909	Uniprot	I1S2M5	EMBL	FGSG_11024	PH-1	Cyp51C	no data found					PHI:2908	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Monocot	4565	Wheat	Bobwhite			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	reduced	no data found	wild type	reduced	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2907	Uniprot	I6YDU0	Genbank	FGSG_04092	PH-1	Cyp51A	no data found					no	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	3702	Arabidopsis thaliana	Landsberg			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2908	Uniprot	I1RBR4	Genbank	FGSG_01000	PH-1	Cyp51B	no data found					no	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	3702	Arabidopsis thaliana	Landsberg			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	reduced	no data found	wild type	reduced	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2909	Uniprot	I1S2M5	EMBL	FGSG_11024	PH-1	Cyp51C	no data found					no	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	3702	Arabidopsis thaliana	Landsberg			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2907	Uniprot	I6YDU0	Genbank	FGSG_04092	PH-1	Cyp51A	no data found					PHI:2909	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	3702	Arabidopsis thaliana	Landsberg			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2908	Uniprot	I1RBR4	Genbank	FGSG_01000	PH-1	Cyp51B	no data found					PHI:2909	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	3702	Arabidopsis thaliana	Landsberg			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	reduced	no data found	wild type	reduced	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2909	Uniprot	I1S2M5	EMBL	FGSG_11024	PH-1	Cyp51C	no data found					PHI:2907	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	3702	Arabidopsis thaliana	Landsberg			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2909	Uniprot	I1S2M5	EMBL	FGSG_11024	PH-1	Cyp51C	no data found					PHI:2908	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	3702	Arabidopsis thaliana	Landsberg			spikelets	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Reduced virulence	no data found	no data found	no data found	no data found	no data found	reduced	no data found	wild type	reduced	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
PHI:2907	Uniprot	I6YDU0	Genbank	FGSG_04092	PH-1	Cyp51A	no data found					no	5518	Fusarium graminearum	229533	PH-1	Fusarium head blight	Eudicot	4081	Tomato	Encore 			fruits	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides	no data found	no data found	Sterol biosynthesis pathway	Unaffected pathogenicity	no data found	no data found	no data found	no data found	no data found	wild type	no data found	wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole	Propiconazole: CHEBI:8489	no data found			no data found	Gene deletion: full		na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
